,"Przewozy pasażerskie/ Passenger transport
Udział przewoźników wg liczby pasażerów/ Share of RUs in terms of number of passengers",,
,,,
,,,
,,,
rok/ year,miesiąc/ month,Przewoźnicy/ Railway carriers,udział wg liczby pasażerów/ share by number of passengers
2013, styczeń-grudzień/ January-December,Koleje Wielkopolskie,2.00%
2013, styczeń-grudzień/ January-December,Arriva RP,0.92%
2013, styczeń-grudzień/ January-December,Koleje Dolnośląskie,0.90%
2013, styczeń-grudzień/ January-December,Pozostali/ Others,0.20%
2014, styczeń/ January,Polregio,29.80%
2014, styczeń/ January,Koleje Mazowieckie - KM,23.63%
2014, styczeń/ January,PKP Szybka Kolej Miejska w Trójmieście,12.72%
2014, styczeń/ January,Szybka Kolej Miejska - Warszawa,10.34%
2014, styczeń/ January,PKP Intercity,8.73%
2014, styczeń/ January,Koleje Śląskie,5.93%
2014, styczeń/ January,Koleje Wielkopolskie,2.97%
2014, styczeń/ January,Warszawska Kolej Dojazdowa,2.72%
2014, styczeń/ January,Arriva RP,1.70%
2014, styczeń/ January,Koleje Dolnośląskie,1.33%
2014, styczeń/ January,Pozostali/ Others,0.12%
2014, styczeń-luty/ January-February,Polregio,29.71%
2014, styczeń-luty/ January-February,Koleje Mazowieckie - KM,23.18%
2014, styczeń-luty/ January-February,PKP Szybka Kolej Miejska w Trójmieście,12.68%
2014, styczeń-luty/ January-February,Szybka Kolej Miejska - Warszawa,11.10%
2014, styczeń-luty/ January-February,PKP Intercity,8.82%
2014, styczeń-luty/ January-February,Koleje Śląskie,5.98%
2014, styczeń-luty/ January-February,Koleje Wielkopolskie,2.84%
2014, styczeń-luty/ January-February,Warszawska Kolej Dojazdowa,2.55%
2014, styczeń-luty/ January-February,Arriva RP,1.74%
2014, styczeń-luty/ January-February,Koleje Dolnośląskie,1.28%
2014, styczeń-luty/ January-February,Pozostali/ Others,0.12%
2014, styczeń-marzec/ January-March,Polregio,29.96%
2014, styczeń-marzec/ January-March,Koleje Mazowieckie - KM,22.97%
2014, styczeń-marzec/ January-March,PKP Szybka Kolej Miejska w Trójmieście,12.87%
2014, styczeń-marzec/ January-March,Szybka Kolej Miejska - Warszawa,10.80%
2014, styczeń-marzec/ January-March,PKP Intercity,8.70%
2014, styczeń-marzec/ January-March,Koleje Śląskie,6.09%
2014, styczeń-marzec/ January-March,Koleje Wielkopolskie,2.82%
2014, styczeń-marzec/ January-March,Warszawska Kolej Dojazdowa,2.64%
2014, styczeń-marzec/ January-March,Arriva RP,1.75%
2014, styczeń-marzec/ January-March,Koleje Dolnośląskie,1.28%
2014, styczeń-marzec/ January-March,Pozostali/ Others,0.13%
2014, styczeń-kwiecień/ January-April,Polregio,29.79%
2014, styczeń-kwiecień/ January-April,Koleje Mazowieckie - KM,23.46%
2014, styczeń-kwiecień/ January-April,PKP Szybka Kolej Miejska w Trójmieście,12.77%
2014, styczeń-kwiecień/ January-April,Szybka Kolej Miejska - Warszawa,10.54%
2014, styczeń-kwiecień/ January-April,PKP Intercity,8.75%
2014, styczeń-kwiecień/ January-April,Koleje Śląskie,6.05%
2014, styczeń-kwiecień/ January-April,Koleje Wielkopolskie,2.77%
2014, styczeń-kwiecień/ January-April,Warszawska Kolej Dojazdowa,2.72%
2014, styczeń-kwiecień/ January-April,Arriva RP,1.74%
2014, styczeń-kwiecień/ January-April,Koleje Dolnośląskie,1.27%
2014, styczeń-kwiecień/ January-April,Pozostali/ Others,0.13%
2014, styczeń-maj/ January-May,Polregio,29.72%
2014, styczeń-maj/ January-May,Koleje Mazowieckie - KM,23.45%
2014, styczeń-maj/ January-May,PKP Szybka Kolej Miejska w Trójmieście,12.86%
2014, styczeń-maj/ January-May,Szybka Kolej Miejska - Warszawa,10.54%
2014, styczeń-maj/ January-May,PKP Intercity,8.74%
2014, styczeń-maj/ January-May,Koleje Śląskie,6.06%
2014, styczeń-maj/ January-May,Warszawska Kolej Dojazdowa,2.75%
2014, styczeń-maj/ January-May,Koleje Wielkopolskie,2.74%
2014, styczeń-maj/ January-May,Arriva RP,1.74%
2014, styczeń-maj/ January-May,Koleje Dolnośląskie,1.26%
2014, styczeń-maj/ January-May,Pozostali/ Others,0.15%
2014, styczeń-czerwiec/ January-June,Polregio,29.61%
2014, styczeń-czerwiec/ January-June,Koleje Mazowieckie - KM,23.56%
2014, styczeń-czerwiec/ January-June,PKP Szybka Kolej Miejska w Trójmieście,12.85%
2014, styczeń-czerwiec/ January-June,Szybka Kolej Miejska - Warszawa,10.32%
2014, styczeń-czerwiec/ January-June,PKP Intercity,8.92%
2014, styczeń-czerwiec/ January-June,Koleje Śląskie,6.04%
2014, styczeń-czerwiec/ January-June,Warszawska Kolej Dojazdowa,2.82%
2014, styczeń-czerwiec/ January-June,Koleje Wielkopolskie,2.71%
2014, styczeń-czerwiec/ January-June,Arriva RP,1.73%
2014, styczeń-czerwiec/ January-June,Koleje Dolnośląskie,1.27%
2014, styczeń-czerwiec/ January-June,Pozostali/ Others,0.19%
2014, styczeń-lipiec/ January-July,Polregio,29.47%
2014, styczeń-lipiec/ January-July,Koleje Mazowieckie - KM,23.42%
2014, styczeń-lipiec/ January-July,PKP Szybka Kolej Miejska w Trójmieście,13.09%
2014, styczeń-lipiec/ January-July,Szybka Kolej Miejska - Warszawa,10.09%
2014, styczeń-lipiec/ January-July,PKP Intercity,9.31%
2014, styczeń-lipiec/ January-July,Koleje Śląskie,5.95%
2014, styczeń-lipiec/ January-July,Warszawska Kolej Dojazdowa,2.80%
2014, styczeń-lipiec/ January-July,Koleje Wielkopolskie,2.65%
2014, styczeń-lipiec/ January-July,Arriva RP,1.72%
2014, styczeń-lipiec/ January-July,Koleje Dolnośląskie,1.27%
2014, styczeń-lipiec/ January-July,Pozostali/ Others,0.23%
2014, styczeń-sierpień/ January-August,Polregio,29.43%
2014, styczeń-sierpień/ January-August,Koleje Mazowieckie - KM,23.39%
2014, styczeń-sierpień/ January-August,PKP Szybka Kolej Miejska w Trójmieście,13.18%
2014, styczeń-sierpień/ January-August,Szybka Kolej Miejska - Warszawa,9.79%
2014, styczeń-sierpień/ January-August,PKP Intercity,9.64%
2014, styczeń-sierpień/ January-August,Koleje Śląskie,5.89%
2014, styczeń-sierpień/ January-August,Warszawska Kolej Dojazdowa,2.80%
2014, styczeń-sierpień/ January-August,Koleje Wielkopolskie,2.63%
2014, styczeń-sierpień/ January-August,Arriva RP,1.71%
2014, styczeń-sierpień/ January-August,Koleje Dolnośląskie,1.27%
2014, styczeń-sierpień/ January-August,Pozostali/ Others,0.27%
2014, styczeń-wrzesień/ January-September,Polregio,29.53%
2014, styczeń-wrzesień/ January-September,Koleje Mazowieckie - KM,23.48%
2014, styczeń-wrzesień/ January-September,PKP Szybka Kolej Miejska w Trójmieście,13.23%
2014, styczeń-wrzesień/ January-September,PKP Intercity,9.59%
2014, styczeń-wrzesień/ January-September,Szybka Kolej Miejska - Warszawa,9.45%
2014, styczeń-wrzesień/ January-September,Koleje Śląskie,5.90%
2014, styczeń-wrzesień/ January-September,Warszawska Kolej Dojazdowa,2.85%
2014, styczeń-wrzesień/ January-September,Koleje Wielkopolskie,2.66%
2014, styczeń-wrzesień/ January-September,Arriva RP,1.71%
2014, styczeń-wrzesień/ January-September,Koleje Dolnośląskie,1.29%
2014, styczeń-wrzesień/ January-September,Pozostali/ Others,0.29%
2014, styczeń-październik/ January-October,Polregio,29.56%
2014, styczeń-październik/ January-October,Koleje Mazowieckie - KM,23.34%
2014, styczeń-październik/ January-October,PKP Szybka Kolej Miejska w Trójmieście,13.28%
2014, styczeń-październik/ January-October,PKP Intercity,9.51%
2014, styczeń-październik/ January-October,Szybka Kolej Miejska - Warszawa,9.44%
2014, styczeń-październik/ January-October,Koleje Śląskie,5.96%
2014, styczeń-październik/ January-October,Warszawska Kolej Dojazdowa,2.90%
2014, styczeń-październik/ January-October,Koleje Wielkopolskie,2.68%
2014, styczeń-październik/ January-October,Arriva RP,1.72%
2014, styczeń-październik/ January-October,Koleje Dolnośląskie,1.31%
2014, styczeń-październik/ January-October,Pozostali/ Others,0.30%
2014, styczeń-listopad/ January-November,Polregio,29.60%
2014, styczeń-listopad/ January-November,Koleje Mazowieckie - KM,23.27%
2014, styczeń-listopad/ January-November,PKP Szybka Kolej Miejska w Trójmieście,13.32%
2014, styczeń-listopad/ January-November,PKP Intercity,9.46%
