Województwo;Rok;Zmienna;Wartoœæ
lubelskie;2016;Produkcja energii elektrycznej: ogó³em (GWh);2375,997322
lubelskie;2016;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";444,87
lubelskie;2017;Moc zainstalowana elektryczna: ogó³em (MW);595,325
lubelskie;2017;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);195,49
lubelskie;2017;Moc osi¹galna elektryczna: ogó³em (MW);565,774
lubelskie;2017;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);193,34
lubelskie;2017;Produkcja energii elektrycznej: ogó³em (GWh);2221,768042
lubelskie;2017;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";521,12
lubelskie;2018;Moc zainstalowana elektryczna: ogó³em (MW);651,201
lubelskie;2018;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);212,86
lubelskie;2018;Moc osi¹galna elektryczna: ogó³em (MW);622,95
lubelskie;2018;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);210,81
lubelskie;2018;Produkcja energii elektrycznej: ogó³em (GWh);2066,761719
lubelskie;2018;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";473,31
lubelskie;2019;Moc zainstalowana elektryczna: ogó³em (MW);712,537
lubelskie;2019;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);272,8
lubelskie;2019;Moc osi¹galna elektryczna: ogó³em (MW);682,672
lubelskie;2019;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);271,73
lubelskie;2019;Produkcja energii elektrycznej: ogó³em (GWh);2443,584159
lubelskie;2019;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";567,84
lubelskie;2020;Moc zainstalowana elektryczna: ogó³em (MW);795,389
lubelskie;2020;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);391,69
lubelskie;2020;Moc osi¹galna elektryczna: ogó³em (MW);767,534
lubelskie;2020;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);390,83
lubelskie;2020;Produkcja energii elektrycznej: ogó³em (GWh);2723,776988
lubelskie;2020;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";597,31
lubelskie;2021;Moc zainstalowana elektryczna: ogó³em (MW);1042,658
lubelskie;2021;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);638,256
lubelskie;2021;Moc osi¹galna elektryczna: ogó³em (MW);1014,803
lubelskie;2021;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);637,401
lubelskie;2021;Produkcja energii elektrycznej: ogó³em (GWh);2271,184966
lubelskie;2021;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";689,763966
Lubelskie;2022;Moc zainstalowana elektryczna: ogó³em (MW);1360,58408
Lubelskie;2022;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);920,968
Lubelskie;2022;Moc osi¹galna elektryczna: ogó³em (MW);1328,42708
Lubelskie;2022;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);920,111
Lubelskie;2022;Produkcja energii elektrycznej: ogó³em (GWh);1901,51045
Lubelskie;2022;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";981,13905
Lubelskie;2023;Moc zainstalowana elektryczna: ogó³em (MW);1800,31794
Lubelskie;2023;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1358,102
Lubelskie;2023;Moc osi¹galna elektryczna: ogó³em (MW);1732,26694
Lubelskie;2023;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);1321,351
Lubelskie;2023;Produkcja energii elektrycznej: ogó³em (GWh);2950,459936
Lubelskie;2023;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";1562,217572
lubuskie;2015;Moc zainstalowana elektryczna: ogó³em (MW);615,245
lubuskie;2015;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);265,95
lubuskie;2015;Moc osi¹galna elektryczna: ogó³em (MW);595,953
lubuskie;2015;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);264,05
lubuskie;2015;Produkcja energii elektrycznej: ogó³em (GWh);2502,8793
lubuskie;2015;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";360,36
lubuskie;2016;Moc zainstalowana elektryczna: ogó³em (MW);667,114
lubuskie;2016;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);317,78
lubuskie;2016;Moc osi¹galna elektryczna: ogó³em (MW);647,822
lubuskie;2016;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);315,89
lubuskie;2016;Produkcja energii elektrycznej: ogó³em (GWh);2959,105613
lubuskie;2016;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";631,72
lubuskie;2017;Moc zainstalowana elektryczna: ogó³em (MW);814,699
lubuskie;2017;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);320,44
lubuskie;2017;Moc osi¹galna elektryczna: ogó³em (MW);785,33
lubuskie;2017;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);316,22
lubuskie;2017;Produkcja energii elektrycznej: ogó³em (GWh);3321,354664
lubuskie;2017;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";697,22
lubuskie;2018;Moc zainstalowana elektryczna: ogó³em (MW);813,622
lubuskie;2018;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);329,56
lubuskie;2018;Moc osi¹galna elektryczna: ogó³em (MW);795,253
lubuskie;2018;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);325,34
lubuskie;2018;Produkcja energii elektrycznej: ogó³em (GWh);3290,818327
lubuskie;2018;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";655,1
lubuskie;2019;Moc zainstalowana elektryczna: ogó³em (MW);850,079
lubuskie;2019;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);358,12
